No,Tahun,Bulan,Kode,Nama,Luas_Tan_Akhir_Bulan_Lalu,Luas_Panen_Habis,Luas_Panen_Belum_Habis,Luas_Rusak,Luas_Tambah_Tanam,Luas_Tan_Akhir,Produksi_Habis_Kw,Produksi_Belum_Habis_Kw,Harga_Jual_Petani_RpKg,Bulan_num,Periode,Produksi_kg,Luas_Panen_ha,is_zero_produksi
1,2023,Januari,BWD,Bawang Daun,9,1,0,0,2,10,180.0,0,5000,1,2023-01-01,18000.0,1,0
27,2023,Februari,BWD,Bawang Daun,10,2,0,0,3,11,360.0,0,5500,2,2023-02-01,36000.0,2,0
53,2023,Maret,BWD,Bawang Daun,11,3,0,0,2,10,540.0,0,5500,3,2023-03-01,54000.0,3,0
79,2023,April,BWD,Bawang Daun,10,2,0,0,2,10,360.0,0,5500,4,2023-04-01,36000.0,2,0
105,2023,Mei,BWD,Bawang Daun,10,1,0,0,1,10,180.0,0,5500,5,2023-05-01,18000.0,1,0
131,2023,Juni,BWD,Bawang Daun,10,1,0,0,1,10,80.0,0,5500,6,2023-06-01,8000.0,1,0
157,2023,Juli,BWD,Bawang Daun,10,2,0,0,2,10,120.0,0,7500,7,2023-07-01,12000.0,2,0
183,2023,Agustus,BWD,Bawang Daun,10,2,0,0,2,10,140.0,0,6000,8,2023-08-01,14000.0,2,0
209,2023,September,BWD,Bawang Daun,10,2,0,0,2,10,160.0,0,8000,9,2023-09-01,16000.0,2,0
235,2023,Oktober,BWD,Bawang Daun,10,2,0,0,2,10,145.0,0,7000,10,2023-10-01,14500.0,2,0
261,2023,November,BWD,Bawang Daun,10,5,0,0,5,10,375.0,0,8000,11,2023-11-01,37500.0,5,0
287,2023,Desember,BWD,Bawang Daun,10,3,0,0,3,10,240.0,0,8000,12,2023-12-01,24000.0,3,0
313,2024,Januari,BWD,Bawang Daun,10,3,0,0,7,14,600.0,0,6000,1,2024-01-01,60000.0,3,0
339,2024,Februari,BWD,Bawang Daun,14,3,0,0,2,13,600.0,0,8000,2,2024-02-01,60000.0,3,0
365,2024,Maret,BWD,Bawang Daun,13,3,0,0,6,16,600.0,0,10000,3,2024-03-01,60000.0,3,0
391,2024,April,BWD,Bawang Daun,18,2,14,0,1,17,100.0,1264,6000,4,2024-04-01,136400.0,16,0
417,2024,Mei,BWD,Bawang Daun,9,6,4,0,11,10,315.0,990,6000,5,2024-05-01,130500.0,10,0
443,2024,Juni,BWD,Bawang Daun,12,1,14,0,10,13,974.0,1380,6000,6,2024-06-01,235400.0,15,0
469,2024,Juli,BWD,Bawang Daun,14,6,9,0,13,4,443.0,529,6000,7,2024-07-01,97200.0,15,0
495,2024,Agustus,BWD,Bawang Daun,0,0,0,0,0,0,0.0,0,6260,8,2024-08-01,0.0,0,1
521,2024,September,BWD,Bawang Daun,5,8,1,0,14,5,251.0,708,6000,9,2024-09-01,95900.0,9,0
547,2024,Oktober,BWD,Bawang Daun,6,6,7,0,9,2,557.0,1279,6000,10,2024-10-01,183600.0,13,0
573,2024,November,BWD,Bawang Daun,5,3,4,0,1,5,120.0,782,6000,11,2024-11-01,90200.0,7,0
599,2024,Desember,BWD,Bawang Daun,7,3,8,0,5,17,767.0,905,6000,12,2024-12-01,167200.0,11,0
625,2025,Januari,BWD,Bawang Daun,9,1,0,0,2,10,180.0,0,5000,1,2025-01-01,18000.0,1,0
651,2025,Februari,BWD,Bawang Daun,10,2,0,0,3,11,360.0,0,5500,2,2025-02-01,36000.0,2,0
677,2025,Maret,BWD,Bawang Daun,11,3,0,0,2,10,540.0,0,5500,3,2025-03-01,54000.0,3,0
703,2025,April,BWD,Bawang Daun,10,2,0,0,2,10,360.0,0,5500,4,2025-04-01,36000.0,2,0
729,2025,Mei,BWD,Bawang Daun,10,1,0,0,1,10,180.0,0,5500,5,2025-05-01,18000.0,1,0
755,2025,Juni,BWD,Bawang Daun,10,1,0,0,1,10,80.0,0,5500,6,2025-06-01,8000.0,1,0
781,2025,Juli,BWD,Bawang Daun,10,2,0,0,2,10,120.0,0,7500,7,2025-07-01,12000.0,2,0
807,2025,Agustus,BWD,Bawang Daun,10,2,0,0,2,10,140.0,0,6000,8,2025-08-01,14000.0,2,0
833,2025,September,BWD,Bawang Daun,10,2,0,0,2,10,160.0,0,8000,9,2025-09-01,16000.0,2,0
859,2025,Oktober,BWD,Bawang Daun,10,2,0,0,2,10,145.0,0,7000,10,2025-10-01,14500.0,2,0
885,2025,November,BWD,Bawang Daun,10,5,0,0,5,10,375.0,0,8000,11,2025-11-01,37500.0,5,0
911,2025,Desember,BWD,Bawang Daun,10,3,0,0,3,10,240.0,0,8000,12,2025-12-01,24000.0,3,0
937,2026,Januari,BWD,Bawang Daun,10,3,0,0,7,14,600.0,0,6000,1,2026-01-01,60000.0,3,0
965,2026,Februari,BWD,Bawang Daun,14,3,0,0,2,13,600.0,0,8000,2,2026-02-01,60000.0,3,0
993,2026,Maret,BWD,Bawang Daun,13,3,0,0,6,16,600.0,0,10000,3,2026-03-01,60000.0,3,0
2,2023,Januari,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,1,2023-01-01,0.0,0,1
28,2023,Februari,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,2,2023-02-01,0.0,0,1
54,2023,Maret,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,3,2023-03-01,0.0,0,1
80,2023,April,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,4,2023-04-01,0.0,0,1
106,2023,Mei,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,5,2023-05-01,0.0,0,1
132,2023,Juni,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,6,2023-06-01,0.0,0,1
158,2023,Juli,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,7,2023-07-01,0.0,0,1
184,2023,Agustus,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,8,2023-08-01,0.0,0,1
210,2023,September,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,9,2023-09-01,0.0,0,1
236,2023,Oktober,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,10,2023-10-01,0.0,0,1
262,2023,November,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,11,2023-11-01,0.0,0,1
288,2023,Desember,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,12,2023-12-01,0.0,0,1
314,2024,Januari,BMR,Bawang Merah,0,0,0,0,2,2,0.0,0,35000,1,2024-01-01,0.0,0,1
340,2024,Februari,BMR,Bawang Merah,2,0,0,0,1,3,0.0,0,35000,2,2024-02-01,0.0,0,1
366,2024,Maret,BMR,Bawang Merah,3,2,0,0,1,2,300.0,0,35000,3,2024-03-01,30000.0,2,0
392,2024,April,BMR,Bawang Merah,16,8,7,0,2,2,1599.0,504,35000,4,2024-04-01,210300.0,15,0
418,2024,Mei,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,35000,5,2024-05-01,0.0,0,1
444,2024,Juni,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,35000,6,2024-06-01,0.0,0,1
470,2024,Juli,BMR,Bawang Merah,8,7,12,0,8,5,856.0,18,35000,7,2024-07-01,87400.0,19,0
496,2024,Agustus,BMR,Bawang Merah,6,3,11,0,14,13,888.0,962,35000,8,2024-08-01,185000.0,14,0
522,2024,September,BMR,Bawang Merah,4,1,11,0,11,11,1134.0,1425,35000,9,2024-09-01,255900.0,12,0
548,2024,Oktober,BMR,Bawang Merah,5,3,6,0,13,15,1320.0,78,35000,10,2024-10-01,139800.0,9,0
574,2024,November,BMR,Bawang Merah,9,7,12,0,9,7,2.0,881,35000,11,2024-11-01,88300.0,19,0
600,2024,Desember,BMR,Bawang Merah,4,1,12,0,13,8,670.0,1591,35000,12,2024-12-01,226100.0,13,0
626,2025,Januari,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,1,2025-01-01,0.0,0,1
652,2025,Februari,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,2,2025-02-01,0.0,0,1
678,2025,Maret,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,3,2025-03-01,0.0,0,1
704,2025,April,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,4,2025-04-01,0.0,0,1
730,2025,Mei,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,5,2025-05-01,0.0,0,1
756,2025,Juni,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,6,2025-06-01,0.0,0,1
782,2025,Juli,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,7,2025-07-01,0.0,0,1
808,2025,Agustus,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,8,2025-08-01,0.0,0,1
834,2025,September,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,9,2025-09-01,0.0,0,1
860,2025,Oktober,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,10,2025-10-01,0.0,0,1
886,2025,November,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,11,2025-11-01,0.0,0,1
912,2025,Desember,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,12,2025-12-01,0.0,0,1
938,2026,Januari,BMR,Bawang Merah,0,0,0,0,2,2,0.0,0,0,1,2026-01-01,0.0,0,1
966,2026,Februari,BMR,Bawang Merah,2,0,0,0,1,3,0.0,0,0,2,2026-02-01,0.0,0,1
994,2026,Maret,BMR,Bawang Merah,3,2,0,0,1,2,300.0,0,35000,3,2026-03-01,30000.0,2,0
3,2023,Januari,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,1,2023-01-01,0.0,0,1
29,2023,Februari,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,2,2023-02-01,0.0,0,1
55,2023,Maret,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,3,2023-03-01,0.0,0,1
81,2023,April,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,4,2023-04-01,0.0,0,1
107,2023,Mei,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,5,2023-05-01,0.0,0,1
133,2023,Juni,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,6,2023-06-01,0.0,0,1
159,2023,Juli,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,7,2023-07-01,0.0,0,1
185,2023,Agustus,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,8,2023-08-01,0.0,0,1
211,2023,September,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,9,2023-09-01,0.0,0,1
237,2023,Oktober,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,10,2023-10-01,0.0,0,1
263,2023,November,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,11,2023-11-01,0.0,0,1
289,2023,Desember,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,12,2023-12-01,0.0,0,1
315,2024,Januari,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,1,2024-01-01,0.0,0,1
341,2024,Februari,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,2,2024-02-01,0.0,0,1
367,2024,Maret,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,3,2024-03-01,0.0,0,1
393,2024,April,BPT,Bawang Putih,17,7,4,0,6,5,1172.0,53,0,4,2024-04-01,122500.0,11,0
419,2024,Mei,BPT,Bawang Putih,7,2,9,0,14,9,574.0,798,0,5,2024-05-01,137200.0,11,0
445,2024,Juni,BPT,Bawang Putih,16,4,1,0,15,11,180.0,134,0,6,2024-06-01,31400.0,5,0
471,2024,Juli,BPT,Bawang Putih,7,5,6,0,13,11,1249.0,913,0,7,2024-07-01,216200.0,11,0
497,2024,Agustus,BPT,Bawang Putih,11,1,9,0,13,19,950.0,1158,0,8,2024-08-01,210800.0,10,0
523,2024,September,BPT,Bawang Putih,10,8,8,0,9,10,849.0,626,0,9,2024-09-01,147500.0,16,0
549,2024,Oktober,BPT,Bawang Putih,11,6,6,0,1,17,1513.0,879,0,10,2024-10-01,239200.0,12,0
575,2024,November,BPT,Bawang Putih,13,8,14,0,17,18,668.0,557,0,11,2024-11-01,122500.0,22,0
601,2024,Desember,BPT,Bawang Putih,12,2,9,0,10,12,49.0,859,0,12,2024-12-01,90800.0,11,0
627,2025,Januari,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,1,2025-01-01,0.0,0,1
653,2025,Februari,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,2,2025-02-01,0.0,0,1
679,2025,Maret,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,3,2025-03-01,0.0,0,1
705,2025,April,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,4,2025-04-01,0.0,0,1
731,2025,Mei,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,5,2025-05-01,0.0,0,1
757,2025,Juni,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,6,2025-06-01,0.0,0,1
783,2025,Juli,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,7,2025-07-01,0.0,0,1
809,2025,Agustus,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,8,2025-08-01,0.0,0,1
835,2025,September,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,9,2025-09-01,0.0,0,1
861,2025,Oktober,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,10,2025-10-01,0.0,0,1
887,2025,November,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,11,2025-11-01,0.0,0,1
913,2025,Desember,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,12,2025-12-01,0.0,0,1
939,2026,Januari,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,1,2026-01-01,0.0,0,1
967,2026,Februari,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,2,2026-02-01,0.0,0,1
995,2026,Maret,BPT,Bawang Putih,0,0,0,0,0,0,0.0,0,0,3,2026-03-01,0.0,0,1
4,2023,Januari,BYMSY,Bayam,4,2,2,0,1,3,160.0,160,4000,1,2023-01-01,32000.0,4,0
30,2023,Februari,BYMSY,Bayam,3,2,1,0,1,2,160.0,80,9000,2,2023-02-01,24000.0,3,0
56,2023,Maret,BYMSY,Bayam,2,1,1,0,1,2,80.0,80,9000,3,2023-03-01,16000.0,2,0
82,2023,April,BYMSY,Bayam,2,1,1,0,1,2,80.0,80,9000,4,2023-04-01,16000.0,2,0
108,2023,Mei,BYMSY,Bayam,2,1,1,0,1,2,80.0,80,9000,5,2023-05-01,16000.0,2,0
134,2023,Juni,BYMSY,Bayam,2,1,1,0,1,2,75.0,75,9000,6,2023-06-01,15000.0,2,0
160,2023,Juli,BYMSY,Bayam,2,0,0,0,0,2,0.0,0,7714,7,2023-07-01,0.0,0,1
186,2023,Agustus,BYMSY,Bayam,2,0,0,0,0,2,0.0,0,7714,8,2023-08-01,0.0,0,1
212,2023,September,BYMSY,Bayam,2,2,0,0,2,2,140.0,0,5000,9,2023-09-01,14000.0,2,0
238,2023,Oktober,BYMSY,Bayam,2,0,0,0,0,2,0.0,0,7714,10,2023-10-01,0.0,0,1
264,2023,November,BYMSY,Bayam,2,0,0,0,0,2,0.0,0,7714,11,2023-11-01,0.0,0,1
290,2023,Desember,BYMSY,Bayam,2,0,0,0,0,2,0.0,0,7714,12,2023-12-01,0.0,0,1
316,2024,Januari,BYMSY,Bayam,2,1,1,0,5,6,10.0,10,4000,1,2024-01-01,2000.0,2,0
342,2024,Februari,BYMSY,Bayam,6,2,0,0,1,5,200.0,0,5000,2,2024-02-01,20000.0,2,0
368,2024,Maret,BYMSY,Bayam,5,2,3,0,1,4,200.0,300,5000,3,2024-03-01,50000.0,5,0
394,2024,April,BYMSY,Bayam,7,7,7,0,7,8,83.0,798,5000,4,2024-04-01,88100.0,14,0
420,2024,Mei,BYMSY,Bayam,8,5,5,0,3,0,1401.0,517,5000,5,2024-05-01,191800.0,10,0
446,2024,Juni,BYMSY,Bayam,12,6,9,0,10,6,1073.0,677,5000,6,2024-06-01,175000.0,15,0
472,2024,Juli,BYMSY,Bayam,13,2,6,0,2,18,57.0,1243,5000,7,2024-07-01,130000.0,8,0
498,2024,Agustus,BYMSY,Bayam,13,7,7,0,3,7,1326.0,541,5000,8,2024-08-01,186700.0,14,0
524,2024,September,BYMSY,Bayam,18,6,2,0,10,7,48.0,988,5000,9,2024-09-01,103600.0,8,0
550,2024,Oktober,BYMSY,Bayam,16,5,9,0,10,19,1572.0,51,5000,10,2024-10-01,162300.0,14,0
576,2024,November,BYMSY,Bayam,14,7,7,0,6,10,609.0,532,5000,11,2024-11-01,114100.0,14,0
602,2024,Desember,BYMSY,Bayam,15,6,10,0,2,4,1079.0,922,5000,12,2024-12-01,200100.0,16,0
628,2025,Januari,BYMSY,Bayam,4,2,2,0,1,3,160.0,160,4000,1,2025-01-01,32000.0,4,0
654,2025,Februari,BYMSY,Bayam,3,2,1,0,1,2,160.0,80,9000,2,2025-02-01,24000.0,3,0
680,2025,Maret,BYMSY,Bayam,2,1,1,0,1,2,80.0,80,9000,3,2025-03-01,16000.0,2,0
706,2025,April,BYMSY,Bayam,2,1,1,0,1,2,80.0,80,9000,4,2025-04-01,16000.0,2,0
732,2025,Mei,BYMSY,Bayam,2,1,1,0,1,2,80.0,80,9000,5,2025-05-01,16000.0,2,0
758,2025,Juni,BYMSY,Bayam,2,1,1,0,1,2,75.0,75,9000,6,2025-06-01,15000.0,2,0
784,2025,Juli,BYMSY,Bayam,2,0,0,0,0,2,0.0,0,0,7,2025-07-01,0.0,0,1
810,2025,Agustus,BYMSY,Bayam,2,0,0,0,0,2,0.0,0,0,8,2025-08-01,0.0,0,1
836,2025,September,BYMSY,Bayam,2,2,0,0,2,2,140.0,0,5000,9,2025-09-01,14000.0,2,0
862,2025,Oktober,BYMSY,Bayam,2,0,0,0,0,2,0.0,0,0,10,2025-10-01,0.0,0,1
888,2025,November,BYMSY,Bayam,2,0,0,0,0,2,0.0,0,0,11,2025-11-01,0.0,0,1
914,2025,Desember,BYMSY,Bayam,2,0,0,0,0,2,0.0,0,0,12,2025-12-01,0.0,0,1
940,2026,Januari,BYMSY,Bayam,2,1,1,0,5,6,10.0,10,4000,1,2026-01-01,2000.0,2,0
968,2026,Februari,BYMSY,Bayam,6,2,0,0,1,5,200.0,0,5000,2,2026-02-01,20000.0,2,0
996,2026,Maret,BYMSY,Bayam,5,2,3,0,1,4,200.0,300,5000,3,2026-03-01,50000.0,5,0
5,2023,Januari,BCS,Buncis,9,1,8,0,3,11,80.0,640,25000,1,2023-01-01,72000.0,9,0
31,2023,Februari,BCS,Buncis,11,5,6,0,6,12,400.0,480,30000,2,2023-02-01,88000.0,11,0
57,2023,Maret,BCS,Buncis,12,4,8,0,2,10,320.0,640,30000,3,2023-03-01,96000.0,12,0
83,2023,April,BCS,Buncis,10,6,4,0,6,10,480.0,320,30000,4,2023-04-01,80000.0,10,0
109,2023,Mei,BCS,Buncis,10,4,6,0,4,10,320.0,480,3000,5,2023-05-01,80000.0,10,0
135,2023,Juni,BCS,Buncis,10,2,8,0,2,10,100.0,400,15000,6,2023-06-01,50000.0,10,0
161,2023,Juli,BCS,Buncis,10,2,0,0,2,10,120.0,0,17500,7,2023-07-01,12000.0,2,0
187,2023,Agustus,BCS,Buncis,10,2,0,0,2,10,75.0,0,10000,8,2023-08-01,7500.0,2,0
213,2023,September,BCS,Buncis,10,4,0,0,4,10,280.0,0,4000,9,2023-09-01,28000.0,4,0
239,2023,Oktober,BCS,Buncis,10,3,0,0,3,10,210.0,0,5000,10,2023-10-01,21000.0,3,0
265,2023,November,BCS,Buncis,10,5,5,0,5,10,375.0,375,6000,11,2023-11-01,75000.0,10,0
291,2023,Desember,BCS,Buncis,10,0,0,0,0,10,0.0,0,15954,12,2023-12-01,0.0,0,1
317,2024,Januari,BCS,Buncis,10,4,6,0,7,13,400.0,60,6000,1,2024-01-01,46000.0,10,0
343,2024,Februari,BCS,Buncis,13,4,0,0,5,14,400.0,0,6000,2,2024-02-01,40000.0,4,0
369,2024,Maret,BCS,Buncis,14,4,10,0,2,12,400.0,1000,6000,3,2024-03-01,140000.0,14,0
395,2024,April,BCS,Buncis,11,1,10,0,5,7,1459.0,436,6000,4,2024-04-01,189500.0,11,0
421,2024,Mei,BCS,Buncis,6,6,11,0,1,7,1217.0,158,6000,5,2024-05-01,137500.0,17,0
447,2024,Juni,BCS,Buncis,5,8,12,0,6,1,229.0,56,6000,6,2024-06-01,28500.0,20,0
473,2024,Juli,BCS,Buncis,0,0,0,0,0,0,0.0,0,6000,7,2024-07-01,0.0,0,1
499,2024,Agustus,BCS,Buncis,15,7,14,0,3,2,782.0,456,6000,8,2024-08-01,123800.0,21,0
525,2024,September,BCS,Buncis,16,1,10,0,4,10,82.0,1369,6000,9,2024-09-01,145100.0,11,0
551,2024,Oktober,BCS,Buncis,5,5,2,0,16,19,593.0,82,6000,10,2024-10-01,67500.0,7,0
577,2024,November,BCS,Buncis,15,3,12,0,5,9,224.0,421,6000,11,2024-11-01,64500.0,15,0
603,2024,Desember,BCS,Buncis,13,3,5,0,11,9,348.0,243,6000,12,2024-12-01,59100.0,8,0
629,2025,Januari,BCS,Buncis,9,1,8,0,3,11,80.0,640,25000,1,2025-01-01,72000.0,9,0
655,2025,Februari,BCS,Buncis,11,5,6,0,6,12,400.0,480,30000,2,2025-02-01,88000.0,11,0
681,2025,Maret,BCS,Buncis,12,4,8,0,2,10,320.0,640,30000,3,2025-03-01,96000.0,12,0
707,2025,April,BCS,Buncis,10,6,4,0,6,10,480.0,320,30000,4,2025-04-01,80000.0,10,0
733,2025,Mei,BCS,Buncis,10,4,6,0,4,10,320.0,480,3000,5,2025-05-01,80000.0,10,0
759,2025,Juni,BCS,Buncis,10,2,8,0,2,10,100.0,400,15000,6,2025-06-01,50000.0,10,0
785,2025,Juli,BCS,Buncis,10,2,0,0,2,10,120.0,0,17500,7,2025-07-01,12000.0,2,0
811,2025,Agustus,BCS,Buncis,10,2,0,0,2,10,75.0,0,10000,8,2025-08-01,7500.0,2,0
837,2025,September,BCS,Buncis,10,4,0,0,4,10,280.0,0,4000,9,2025-09-01,28000.0,4,0
863,2025,Oktober,BCS,Buncis,10,3,0,0,3,10,210.0,0,5000,10,2025-10-01,21000.0,3,0
889,2025,November,BCS,Buncis,10,5,5,0,5,10,375.0,375,6000,11,2025-11-01,75000.0,10,0
915,2025,Desember,BCS,Buncis,10,0,0,0,0,10,0.0,0,0,12,2025-12-01,0.0,0,1
941,2026,Januari,BCS,Buncis,10,4,6,0,7,13,400.0,60,6000,1,2026-01-01,46000.0,10,0
969,2026,Februari,BCS,Buncis,13,4,0,0,5,14,400.0,0,6000,2,2026-02-01,40000.0,4,0
997,2026,Maret,BCS,Buncis,14,4,10,0,2,12,400.0,1000,6000,3,2026-03-01,140000.0,14,0
6,2023,Januari,CBBTW,Cabai Besar,9,0,9,0,1,10,0.0,855,25000,1,2023-01-01,85500.0,9,0
32,2023,Februari,CBBTW,Cabai Besar,10,2,8,0,6,14,190.0,760,19000,2,2023-02-01,95000.0,10,0
58,2023,Maret,CBBTW,Cabai Besar,14,2,12,0,1,13,190.0,1140,19000,3,2023-03-01,133000.0,14,0
84,2023,April,CBBTW,Cabai Besar,13,2,11,0,2,13,190.0,1045,19000,4,2023-04-01,123500.0,13,0
110,2023,Mei,CBBTW,Cabai Besar,13,1,12,0,1,13,95.0,1140,19000,5,2023-05-01,123500.0,13,0
136,2023,Juni,CBBTW,Cabai Besar,13,2,11,0,1,12,190.0,990,20000,6,2023-06-01,118000.0,13,0
162,2023,Juli,CBBTW,Cabai Besar,12,2,0,0,2,12,180.0,0,28000,7,2023-07-01,18000.0,2,0
188,2023,Agustus,CBBTW,Cabai Besar,12,2,0,0,2,12,180.0,0,30000,8,2023-08-01,18000.0,2,0
214,2023,September,CBBTW,Cabai Besar,12,4,0,0,4,12,360.0,0,35000,9,2023-09-01,36000.0,4,0
240,2023,Oktober,CBBTW,Cabai Besar,12,2,0,0,2,12,180.0,0,35000,10,2023-10-01,18000.0,2,0
266,2023,November,CBBTW,Cabai Besar,12,7,5,0,7,12,665.0,475,40000,11,2023-11-01,114000.0,12,0
292,2023,Desember,CBBTW,Cabai Besar,12,5,0,0,5,12,475.0,0,40000,12,2023-12-01,47500.0,5,0
318,2024,Januari,CBBTW,Cabai Besar,12,5,7,0,3,10,500.0,700,20000,1,2024-01-01,120000.0,12,0
344,2024,Februari,CBBTW,Cabai Besar,10,3,0,0,2,9,300.0,0,25000,2,2024-02-01,30000.0,3,0
370,2024,Maret,CBBTW,Cabai Besar,9,3,6,0,2,8,300.0,600,40000,3,2024-03-01,90000.0,9,0
396,2024,April,CBBTW,Cabai Besar,0,0,0,0,0,0,0.0,0,28333,4,2024-04-01,0.0,0,1
422,2024,Mei,CBBTW,Cabai Besar,0,0,0,0,0,0,0.0,0,28333,5,2024-05-01,0.0,0,1
448,2024,Juni,CBBTW,Cabai Besar,0,0,0,0,0,0,0.0,0,28333,6,2024-06-01,0.0,0,1
474,2024,Juli,CBBTW,Cabai Besar,0,0,0,0,0,0,0.0,0,28333,7,2024-07-01,0.0,0,1
500,2024,Agustus,CBBTW,Cabai Besar,0,0,0,0,0,0,0.0,0,28333,8,2024-08-01,0.0,0,1
526,2024,September,CBBTW,Cabai Besar,0,0,0,0,0,0,0.0,0,28333,9,2024-09-01,0.0,0,1
552,2024,Oktober,CBBTW,Cabai Besar,0,0,0,0,0,0,0.0,0,28333,10,2024-10-01,0.0,0,1
578,2024,November,CBBTW,Cabai Besar,0,0,0,0,0,0,0.0,0,28333,11,2024-11-01,0.0,0,1
604,2024,Desember,CBBTW,Cabai Besar,0,0,0,0,0,0,0.0,0,28333,12,2024-12-01,0.0,0,1
630,2025,Januari,CBBTW,Cabai Besar,9,0,9,0,1,10,0.0,855,25000,1,2025-01-01,85500.0,9,0
656,2025,Februari,CBBTW,Cabai Besar,10,2,8,0,6,14,190.0,760,19000,2,2025-02-01,95000.0,10,0
682,2025,Maret,CBBTW,Cabai Besar,14,2,12,0,1,13,190.0,1140,19000,3,2025-03-01,133000.0,14,0
708,2025,April,CBBTW,Cabai Besar,13,2,11,0,2,13,190.0,1045,19000,4,2025-04-01,123500.0,13,0
734,2025,Mei,CBBTW,Cabai Besar,13,1,12,0,1,13,95.0,1140,19000,5,2025-05-01,123500.0,13,0
760,2025,Juni,CBBTW,Cabai Besar,13,2,11,0,1,12,190.0,990,20000,6,2025-06-01,118000.0,13,0
786,2025,Juli,CBBTW,Cabai Besar,12,2,0,0,2,12,180.0,0,28000,7,2025-07-01,18000.0,2,0
812,2025,Agustus,CBBTW,Cabai Besar,12,2,0,0,2,12,180.0,0,30000,8,2025-08-01,18000.0,2,0
838,2025,September,CBBTW,Cabai Besar,12,4,0,0,4,12,360.0,0,35000,9,2025-09-01,36000.0,4,0
864,2025,Oktober,CBBTW,Cabai Besar,12,2,0,0,2,12,180.0,0,35000,10,2025-10-01,18000.0,2,0
890,2025,November,CBBTW,Cabai Besar,12,7,5,0,7,12,665.0,475,40000,11,2025-11-01,114000.0,12,0
916,2025,Desember,CBBTW,Cabai Besar,12,5,0,0,5,12,475.0,0,40000,12,2025-12-01,47500.0,5,0
942,2026,Januari,CBBTW,Cabai Besar,12,5,7,0,3,10,500.0,700,20000,1,2026-01-01,120000.0,12,0
970,2026,Februari,CBBTW,Cabai Besar,10,3,0,0,2,9,300.0,0,25000,2,2026-02-01,30000.0,3,0
998,2026,Maret,CBBTW,Cabai Besar,9,3,6,0,2,8,300.0,600,40000,3,2026-03-01,90000.0,9,0
